"cha_id","cha_hot_id","cha_numero","cha_capacite","cha_type"
"1","1","1","2","1"
"2","1","2","3","1"
"3","1","3","2","1"
"4","1","101","1","1"
"5","1","102","2","1"
"6","1","103","3","1"
"7","1","201","2","1"
"8","1","202","7","1"
"9","1","203","1","1"
"10","2","1","2","1"
"11","2","2","2","1"
"12","2","3","1","1"
"13","2","101","2","1"
"14","2","102","1","1"
"15","2","103","3","1"
"16","2","201","2","1"
"17","2","202","4","1"
"18","2","203","4","1"
"19","3","1","3","1"
"20","3","2","1","1"
"21","3","3","2","1"
"22","3","101","2","1"
"23","3","102","2","1"
"24","3","103","2","1"
"25","3","201","2","1"
"26","3","202","4","1"
"27","3","203","4","1"
"28","4","1","4","1"
"29","4","2","2","1"
"30","4","3","4","1"
"31","4","101","1","1"
"32","4","102","2","1"
"33","4","103","2","1"
"34","4","201","2","1"
"35","4","202","2","1"
"36","4","203","3","1"
"37","5","1","3","1"
"38","5","2","2","1"
"39","5","3","2","1"
"40","5","101","1","1"
"41","5","102","4","1"
"42","5","103","1","1"
"43","5","201","2","1"
"44","5","202","4","1"
"45","5","203","4","1"
"46","6","1","1","1"
"47","6","2","1","1"
"48","6","3","1","1"
"49","6","101","1","1"
"50","6","102","1","1"
"51","6","103","1","1"
"52","6","201","1","1"
"53","6","202","1","1"
"54","6","203","1","1"
"55","7","1","1","1"
"56","7","2","5","1"
"57","7","3","5","1"
"58","7","101","5","1"
"59","7","102","5","1"
"60","7","103","5","1"
"61","7","201","5","1"
"62","7","202","5","1"
"63","7","203","5","1"
